,No.,Title,Author,Size,Year,Category,Description
83,40157,Guide Map of Chicago (G4104.C4.1866.B5 copy 2),"Blanchard, Rufus","Laminated. 20""x14.75""",1866,Chicago," Street
  map of Chicago.  S to Egan, N to
  Fullerton, W to Western.  Also labels
  parks, railway lines and depots. 
  Divisions marked by different colors. Legend on right side contains
  locations of additions and subdivisions. Also
  has small guide book, 34pp.  Lists
  schools, stores, churches, landmarks, etc."
84,17,Guide Map of Chicago,"Blanchard, Rufus","Laminated. 15.5""x21.5""",1867,Chicago," ""Engraved
  for Richard Edward's New Directory, the standard official guide to the
  city"" Street
  map of Chicago.  S to Egan, N to
  Fullerton, W to Western.  Also labels
  parks, railway lines and depots.  Right
  side lists numbered fire alarm and police telegraph stations.  Divisions marked by color."
85,18,Guide Map of Chicago (3 copies),"Blanchard, Rufus","Laminated. 16.5""x22""",1867,Chicago," Street
  map of Chicago.  S to Egan, N to
  Fullerton, W to Western.  Also labels
  parks, railway lines and depots.  Map
  on alphanumeric grid.  Right side lists
  location of additions and subdivisions. 
  Divisions marked by color. Have 2
  small guide books noting streets, wards, railroads, theaters, etc.  Some information on Chicago Historical
  Society. Map 1,
  gift: Don Beyer 3/1967"
86,61,Map of Chicago,"Mendel, Edw.","Laminated. 10.5""x15.5""",1867,Chicago," Street
  map of Chicago S to Egan, N to Fullerton, W to Western.  Also labels railroads, depots, and
  rivers.  Numbers districts. From:
  ""A Guide to the City of Chicago"". 
  Chicago, Zell & Co. 1868 F38HA.Z3"
87,67,Chicago (G4104.C4.1867.M4),"Mitchell, S. Augustus Jr.","On mount: 17""x13.5""",1867,Chicago," Map
  size: 12.5""x10"" Street
  map.  S to 31st, N to Fullerton, W to
  Western.  Also marks rivers, parks,
  railway lines.  Wards numbered and
  marked by color."
88,0067a,Chicago (G4104.C4.1867.M4),"Mitchell, S. Augustus Jr.","Reproduction. 22""x18""",1867,Chicago,"  Street map. 
  S to 31st, N to Fullerton, W to Western.  Also marks rivers, parks, railway
  lines.  Wards numbered and marked by
  color. Gift,
  Rand McNally Map Store, Nov. 1968"
89,154,Chicago,Baird & Bradley,"Laminated. 13""x20""",1867,Chicago," Street
  map of Chicago S to Egan, N to Fullerton, W to Western.  Also labels railroads, depots, and
  rivers.  Numbers districts."
90,163,Map of Chicago and Environs,"Blanchard, Rufus","Laminated. 28.5""x37.5""",1867,Chicago," Some
  cracks and tears, especially around edges. 
  Paper very yellowed. Street
  map of Chicago and surrounding area.  S
  to Junction, W to Johnson, N to Shelby. 
  Also includes railroads.  Some
  major streets highlighted red.  Colors
  mark divisions of city, city against surrounding area.  Legend on right side marks locations of
  additions and subdivisions.  Drawing of
  sailing vessel off lakeshore."
91,19,Guide Map of Chicago,"Blanchard, Rufus","12""x20""",1868,Chicago,
92,20,Guide Map of Chicago,"Blanchard, Rufus","Laminated. 12""x19.5""",1868,Chicago," Street
  map of Chicago.  S to Egan, W to
  Western, N to Fullerton.  Also noted
  railway lines and parks.  Wards
  numbered.  Map on alphanumeric grid. From:
  Wright, J.S. ""Chicago, Past, Present, Future."" Chicago: 1868."
93,22,Guide Map of Chicago,Blanchard & Cram,"Laminated.  20.5""x16""",1868,Chicago," Street
  map of Chicago.  S to Egan, W to
  Western, N to Fullerton.  Also noted
  railway lines and parks.  Wards
  numbered and marked by color.  Map on
  alphanumeric grid.  Right side of map
  contains drawings of: Bird's Eye view of Chicago in 1823; Rush St. Bridge;
  Chamber of Commerce building; Post Office building; sailing vessel. Comes
  with orange booklet containing street guide, information about city. Also
  available as photonegative in manila folder."
94,83,Official Guide Map of Chicago,J. Van Vechten,"Laminated. 37""x25""",1868,Chicago," Streep
  map of Chicago.  S to Egan, W to
  Western, N to Fullerton.  Also notes
  railway lines and parks.  Wards
  numbered and marked by color.  Numbers
  lots and gives names of areas, owners. 
  Some major roads marked in red. 
  Map on alphanumeric grid.  Right
  side contains city ordinance, lists street guide. Also
  available as photonegative in manila folder."
95,90,Guide Map of Chicago,"Cram, George F.","Laminated.  13""x20""",1868,Chicago," Street
  map of Chicago.  S to Egan, W to
  Western, N to Fullerton.  Also notes
  railway lines and parks.  Wards
  numbered and marked by color.  Map on
  alphanumeric grid. Published
  by Chas. A. Shober Comes
  with booklet containing street guide, information about wards, ordinances,
  population, etc."
96,0090a,Guide Map of Chicago,"Cram, George F.","In sealed plastic sleeve.  13""x20""",1868,Chicago," Street
  map of Chicago.  S to Egan, W to
  Western, N to Fullerton.  Also notes
  railway lines and parks.  Wards
  numbered.   Published
  by Chas. A. Shober Comes
  with booklet containing street guide, information about wards, ordinances,
  population, etc."
97,94,Map of Chicago (G4104.C4.1868.V3),J. van Vechten,"48""x74""",1868,Chicago," Street
  map of Chicago.  Names subdivisions and
  numbers land plots.  Inset map (top
  right) shows ward boundaries.  Inset
  bottom (bottom right) shows Pier St. pier. 
  Map on gradient.  Right side
  contains street guide and business/real estate directory. Map
  displays some flaking on edges."
98,164,Map of Chicago and Environs,"Blanchard, Rufus","24""x37""",1868,Chicago," Street
  map of Chicago and surrounding area. 
  Red border marks city limits S to Egan, N to Fullerton.  Also notes railway lines and parks.  Wards numbered and marked by color.  Areas beyond city limits shaded green,
  includes Union Stock Yards and Lincoln Park. Right of
  map contains hand drawings of: Chicago in 1818; Chicago in 1823; Stockyards;
  a steamboat; a train; Chicago Chamber of Commerce building."
99,181,Map of Chicago and Environs,"Blanchard, Rufus","45""x76""",1868,Chicago," Laminated.  Yellowing and cracked around edges. Map of
  Chicago and surrounding area with streets named and lot numbers marked.  City boundaries marked in red.  Major streets highlighted red.  Wards marked by number.  Additions and subdivisions named and
  colored. Map on
  alphanumeric grid.  Street guide legend
  to right of map. Lower
  right: Round inset map of northern Illinois, showing cities and railroads. Upper
  left: World map with shipping lines marked. Upper
  center: Inset map of western US highlighting rivers.  Inset map of Cook and DuPage Counties
  highlighting railroads."
100,21,Guide Map of Chicago,"Blanchard, Rufus","11""x8.75""",1869,Chicago," Fold-out
  in yellow cover.  Inside manila file
  folder. Street
  map of Chicago, with railroads and horse roads marked.  S to 44th, N to Fullerton, W to
  Kedzie.  Wards marked by color."
101,68,Chicago, ,"On mount: 16""x13.5""",1869,Chicago," Map:
  14""x11.5"" Street
  map of Chicago.  N to Fullerton, S to
  31st, W to Western.  Also notes parks
  and railroads.  Wards marked by number
  and color. ""Entered
  according to the Act of Congress in 1869 by S. Augustus Mitchell..."""
102,91,Guide Map of Chicago (2 copies),"Blanchard, Rufus","Laminated. 22""x17""",1869,Chicago," Street
  map of Chicago.  N to Fullerton, S to
  47th, W to Kedzie.  Also notes parks
  and railroads.  City limits noted,
  wards marked by color.  Map on
  alphanumeric grid.  On right side:
  Drawings of Union Stock Yards, Bird's Eye View of Chicago in 1823, Chicago
  Chamber of Commerce building."
103,97,New Map of Chicago,"Edwards, Richard","Laminated. 12.5""x19.5""",1869,Chicago," Advertisement
  at top for Oliver C. Ely clotheswear. 
  Street map of Chicago, N to Fullerton, S to 68th St, W to Cicero.  Shows railways, parks and boulevards.  Numbers wards.  Shows radius from city center in half-mile
  increments. Scale:
  1.5"" = 1 mile"
104,98,Guide Map of Chicago,"Blanchard, Rufus","Laminated. 22""x17""",1869,Chicago," Street
  map of Chicago.  Red border marks city
  limits S to Egan, N to Fullerton.  Also
  notes railway lines and parks.  Wards
  numbered and marked by color.  Map on
  alphanumeric grid. Comes
  with black booklet containing street guide, information on railroads, fire
  alarm and police telegraph locations, etc."
105,99,Map of Chicago and Environs,"Blanchard, Rufus","Laminated. 32.5""x39.5""",1869,Chicago," Shows
  streets and some numbered plots in Chicago and surrounding area.  Wards and outer cities marked by
  color.  Included Hyde Park, Lake,
  Lyons, Cicero, Proviso, Leyden, Jefferson, and Lakeview.  Inset map in upper right for Evanston."
106,155,"Map of South Chicago and Environs, Showing
  Parks, Boulevard, &c",Clarke Layton Co.,"23""x17.5""",1869,Chicago," ""Showing
  tracts of land to be offered at Great Auction Sale in Farwell Hall, May 20th
  1869"" Map of
  streets and lots in south Chicago.  N
  to Kinzie, W to Blue Island, S to Oakwood cemetery.  Includes stockyards, Hyde Park.  Marks railways.  Parks and boulevards marked in
  blue-green.  Tracts for sale marked in
  pink."
107,100,Chicago, ,"15.5""x12.5""",1870,Chicago," Street
  map of Chicago.  N to Fullerton, S to
  31st, W to Western.  Also notes parks
  and railroads.  Wards marked by number
  and color. ""Entered
  according to the Act of Congress in 1870 by S. Augustus Mitchell..."""
108,101,Map of Chicago and Environs,"Blanchard, Rufus","31""x38""",1870,Chicago," Map
  shows Chicago streets, streets and land plots in surrounding areas, including
  Hyde Park, Lake, Lyons, Cicero, Proviso, Harlem, Oak Park, Riverside, Austin,
  Leyden, Jefferson, Lake View.  City
  wards numbered and marked by color.  
  Parks and boulevards marked in green. Upper
  right: Insert map of Evanston."
109,125,[South Chicago map], ,"11""x17""",1870,Chicago," Street
  map of Chicago and southern areas.  N
  to Fullerton, S to 87th, W to Kedzie, including Lake and Hyde Park.  Also shows railway lines, parks,
  stockyards.  City wards and external
  land plots numbered. From:
  Wright, J.S. 'Chicago: Past, Present, Future.' Chicago, 1870. p. 248 (?)"
110,165,"Map of Chicago Showing the Location of South
  Lynne",A. Vail & Son,"Laminated. 10.75""x17""",1870,Chicago," Street
  map of Chicago and southern areas.  N
  to Fullerton, S to 87th, W to Kedzie, including Lake and Hyde Park.  Also shows railway lines, parks,
  stockyards.  City wards and external
  land plots numbered.  Parks and
  boulevards shaded green.  Lots in South
  Lynn shaded blue."
111,102,Guide Map of Chicago,"Blanchard, Rufus","Laminated. 22""x16.5""",1871,Chicago," Street
  map of Chicago.  Also shows railway
  lines and depots.  Parks and boulevards
  marked in green.  Wards marked with
  other colors.  Map on alphanumeric
  grid. Also
  comes with street guide booklet in photomount pamphlet binder."
112,103,Map of Chicago and Environs,"Blanchard, Rufus","34""x46""",1871,Chicago," Map
  shows Chicago streets, streets and land plots in surrounding areas, including
  Hyde Park, Lake, Lyons, Cicero, Proviso, Harlem, Oak Park, Riverside, Austin,
  Leyden, Jefferson, Lake View.  City
  wards numbered and marked by color.  
  Parks and boulevards marked in green. Upper
  right: Insert map of Evanston. Bottom
  left: drawings of train, Chicago in 1818."
113,124,Map of the City of Chicago,"Warner, Higgins & Beers","18""x14""",1871,Chicago," Street
  map of Chicago.  Dark borders around
  city boundaries.  Also shows railway
  lines.  Parks and boulevards shaded.  Wards marked by number. Photostat
  from: Warner, Higgins & Beers. 
  Atlas of the State of Illinois... 1871, p. 13"
114,218,Map of Chicago,"van Vechten, J.","88""x68""",1871,Chicago," Map of
  Chicago streets and numbered land plots. 
  S to 39th St, W to Crawford, N to Belmont.  Wards numbered, subdivisions named and
  marked by color.  Parks and boulevards
  marked in green. Right
  side contains inset maps of: Hinsdale, West Hinsdale, Hawthorne. Legend
  on right side contains street director, lists of additions and subdivisions,
  fire limits. Map
  yellowed, cracked/fraying along edges. Scale:
  1""=500ft ICHi-51289"
115,263,Chicago, ,"On mount: 16.5""x13.5""",1871,Chicago," Map:
  14""x11.5"" Street
  map of Chicago, with decorated border. 
  N to Fullerton, S to 31st, W to Western.  Also notes parks and railroads.  Wards marked by number and color. ""Entered
  according to the Act of Congress in 1872 by S. Augustus Mitchell..."""
116,no number,Map of Cook and DuPage Counties,"Blanchard, Rufus","11""x17.75""",1872,Chicago," Map of
  Chicago and surrounding areas.  Marks
  railways, post roads, rivers.  Shows
  suburbs as far out as: Dundee, Barrington, Palatine, Wheeling, Northfield,
  Elgin, St. Charles, Geneva, Batavia, Aurora, Naperville, Lisle, LeMont,
  Orland Park, Rich. Advertisement
  for S.H. Kerfoot & Co. on upper part of sheet.  Map cut on right side, losing everything E
  of Hyde Park and Lake Calumet."
117,104,Guide Map of Chicago,"Blanchard, Rufus","Laminated. 17""x22""",1872,Chicago," Street
  map of Chicago.  S to 42nd, W to
  Crawford, N to Fullerton.  Wards
  numbered and marked by color.  Thick
  red outline marks city borders.  Green
  marks parks and boulevards. 
  Subdivisions outlined and numbered in blue colored pencil.  Also handwritten numbering for lots in 7th
  ward at 26th St. and Western. Map on
  alphanumeric grid. Comes
  with guide map, owned by Miss Valentine Smith.  Lists streets, population information.  Missing back cover."
118,105,Guide Map of Chicago,"Blanchard, Rufus","Laminated, slightly yellowed.
  17""x22""",1872,Chicago," Street
  map of Chicago.  S to 42nd, W to
  Crawford, N to Fullerton.  Wards
  numbered and marked by color.  Thick
  red outline marks city borders.  Green
  marks parks and boulevards. 
  Handwritten outlines marks areas damaged by Fire. Map on
  alphanumeric grid. Comes
  with guide map, owned by Miss Valentine Smith.  Lists streets, population information.  Missing back cover."
119,106,Guide Map of Chicago and South Parks,"Blanchard, Rufus","Laminated. 23""x30.5""",1872,Chicago," Some
  fraying along edges, cracks in corners. Street
  map of Chicago and southern areas, S to 71st St..  Wards numbered and marked by color.  Red highlight around city limits.  Parks and boulevards marked in deep
  green.  Dotted line around area damaged
  by fire.  Map on alphanumeric
  grid.  Street guide listing on right
  side.  Inset map on lower left side of
  Cook County showing suburbs and rail lines."
120,107,Chicago & Environs (G4104.C4.1872.B5c),"Blanchard, Rufus","Laminated. 47""x78""",1872,Chicago," Some
  cracks, tears. Map of
  Chicago and surrounding suburbs.  On
  grid with population guide and street legend on right ride.  Wards in Chicago and suburban subdivisions
  numbered, marked by color.  City and
  suburb boundaries highlighted red. 
  Parks and boulevards highlighted green. Upper
  right: inset map of Cook and DuPage counties, plus edges of Indiana and Kane
  Cty.  Shows railroad lines and suburb
  names."
121,121,Map of Chicago (G4104.C4.1872.V3),"van Vechten, J.","Laminated. 68""x87""",1872,Chicago," Some
  cracks, tears. Map
  of Chicago streets and lots.  S to
  34th, W to Crawford, N to Belmont. 
  Wards with red numbers and borders. 
  Subdivisions marked by name and color. 
  Thick red outlines at city limits. 
  Thin red outline around fire-damaged area.  Map on alphanumeric grid with street guide
  on upper right side. Inset
  maps on right side: Map of Rogers Park with information on land sales.  Map of Hinsdale.  Map of Chapman's addition to
  Maplewood.  Map of Washington Heights
  with information on area."
